 Iter       a          b          Pn         Error
   1    2.000000    3.000000    2.500000    0.000000
   2    2.500000    3.000000    2.750000    0.090909
   3    2.500000    2.750000    2.625000    0.047619
   4    2.625000    2.750000    2.687500    0.023256
   5    2.687500    2.750000    2.718750    0.011494
   6    2.687500    2.718750    2.703125    0.005780
   7    2.703125    2.718750    2.710938    0.002882
   8    2.703125    2.710938    2.707031    0.001443
   9    2.703125    2.707031    2.705078    0.000722
  10    2.705078    2.707031    2.706055    0.000361
  11    2.706055    2.707031    2.706543    0.000180
  12    2.706055    2.706543    2.706299    0.000090

Root =   2.706299
