   Iteration No.            Pn-1              pn      |Pn-Pn-1|/|Pn|
               1        0.500000        0.800000            0.375000
               2        0.800000        0.609756            0.312000
               3        0.609756        0.728968            0.163535
               4        0.728968        0.653000            0.116337
               5        0.653000        0.701061            0.068556
               6        0.701061        0.670472            0.045624
               7        0.670472        0.689878            0.028129
               8        0.689878        0.677538            0.018212
               9        0.677538        0.685374            0.011432
              10        0.685374        0.680394            0.007319
              11        0.680394        0.683557            0.004627
              12        0.683557        0.681547            0.002949
              13        0.681547        0.682824            0.001870
              14        0.682824        0.682013            0.001190
              15        0.682013        0.682528            0.000755
              16        0.682528        0.682201            0.000480
              17        0.682201        0.682409            0.000305
              18        0.682409        0.682276            0.000194
              19        0.682276        0.682360            0.000123
              20        0.682360        0.682307            0.000078
