    n     Recurrence          Exact          Error
    1           5.00           5.00           0.00
    2          12.00          12.00           0.00
    3          22.00          22.00           0.00
    4          35.00          35.00           0.00
    5          51.00          51.00           0.00
    6          70.00          70.00           0.00
    7          92.00          92.00           0.00
    8         117.00         117.00           0.00
    9         145.00         145.00           0.00
   10         176.00         176.00           0.00
   11         210.00         210.00           0.00
   12         247.00         247.00           0.00
   13         287.00         287.00           0.00
   14         330.00         330.00           0.00
   15         376.00         376.00           0.00
   16         425.00         425.00           0.00
   17         477.00         477.00           0.00
   18         532.00         532.00           0.00
   19         590.00         590.00           0.00
   20         651.00         651.00           0.00
   21         715.00         715.00           0.00
   22         782.00         782.00           0.00
   23         852.00         852.00           0.00
   24         925.00         925.00           0.00
   25        1001.00        1001.00           0.00
   26        1080.00        1080.00           0.00
   27        1162.00        1162.00           0.00
   28        1247.00        1247.00           0.00
   29        1335.00        1335.00           0.00
   30        1426.00        1426.00           0.00
   31        1520.00        1520.00           0.00
   32        1617.00        1617.00           0.00
   33        1717.00        1717.00           0.00
   34        1820.00        1820.00           0.00
   35        1926.00        1926.00           0.00
   36        2035.00        2035.00           0.00
   37        2147.00        2147.00           0.00
   38        2262.00        2262.00           0.00
   39        2380.00        2380.00           0.00
   40        2501.00        2501.00           0.00
   41        2625.00        2625.00           0.00
   42        2752.00        2752.00           0.00
   43        2882.00        2882.00           0.00
   44        3015.00        3015.00           0.00
   45        3151.00        3151.00           0.00
   46        3290.00        3290.00           0.00
   47        3432.00        3432.00           0.00
   48        3577.00        3577.00           0.00
   49        3725.00        3725.00           0.00
   50        3876.00        3876.00           0.00
