    n          Hn          Mn      Equal?
    1           1           1           T
    2           3           3           T
    3           7           7           T
    4          15          15           T
    5          31          31           T
    6          63          63           T
    7         127         127           T
    8         255         255           T
    9         511         511           T
   10        1023        1023           T

 Conclusion: Hn = Mn = 2^n - 1 for every n tested.
