   Day             In     Percentage
     1         6.4925        0.6493%
     2         8.4276        0.8428%
     3        10.9346        1.0935%
     4        14.1791        1.4179%
     5        18.3725        1.8372%
     6        23.7830        2.3783%
     7        30.7482        3.0748%
     8        39.6890        3.9689%
     9        51.1231        5.1123%
    10        65.6760        6.5676%
    11        84.0848        8.4085%
    12       107.1892       10.7189%
    13       135.8991       13.5899%
    14       171.1282       17.1128%
    15       213.6812       21.3681%
    16       264.0877       26.4088%
    17       322.3913       32.2391%
    18       387.9279       38.7928%
    19       459.1598       45.9160%
    20       533.6594       53.3659%
