   Layer       n^2    Total Crates   Total Cost($)
       1         1               1           15.00
       2         4               5           75.00
       3         9              14          210.00
       4        16              30          450.00
       5        25              55          825.00
       6        36              91         1365.00
       7        49             140         2100.00
       8        64             204         3060.00
       9        81             285         4275.00
      10       100             385         5775.00
      11       121             506         7590.00
      12       144             650         9750.00
      13       169             819        12285.00
      14       196            1015        15225.00
      15       225            1240        18600.00
      16       256            1496        22440.00
      17       289            1785        26775.00
      18       324            2109        31635.00
      19       361            2470        37050.00
      20       400            2870        43050.00
